dt,mkt_am,mkt_pm,am_bucket
2026-05-12,0.0014267551382377826,0.0012172939674280291,0〜+0.5%
2026-05-13,0.009419415922126152,-0.00027473470528992477,+0.5〜+1%
2026-05-14,-0.0008693461453042325,-0.008105211652384718,-0.5〜0%
2026-05-15,-0.013733008902852615,-0.001512774732392922,-2〜-1%
2026-05-18,-0.009679112568211913,-0.00291754153897141,-1〜-0.5%
2026-05-19,-0.007703610514711217,0.0005177744160115471,-1〜-0.5%
2026-05-20,-0.016087437282835706,0.00034773568684797276,-2〜-1%
2026-05-21,0.0013236796900514772,-0.005911421478215089,0〜+0.5%
2026-05-22,0.003745097084274854,0.0017899975951218108,0〜+0.5%
2026-05-25,0.002472643919524713,0.0020259476990552136,0〜+0.5%
2026-05-26,-0.0022749078246464965,0.0008264064086731811,-0.5〜0%
2026-05-27,-0.008712722244712234,-0.004378093889712435,-1〜-0.5%
2026-05-28,0.0010157617244606976,-0.002117014106781033,0〜+0.5%
2026-05-29,0.0008351459647129906,0.004547364505580446,0〜+0.5%
2026-06-01,-0.0047041379055257305,-0.0013859481597428792,-0.5〜0%
2026-06-02,-0.01025042244725404,0.01167317743369636,-2〜-1%
