date,open_px,open_vol,gap_bps,fwd_bps,med20,vol_ratio,sym,gap_dir,vol_dir,quad
2025-12-11,5433.0,316200.0,83.51893095768447,38.65267807841022,402750.0,0.7851024208566107,5713.T,UG,LV,UG_LV
2025-12-16,5680.0,418200.0,-45.56607080266395,-116.19718309859195,381400.0,1.096486628211851,5713.T,DG,LV,DG_LV
2025-12-18,5800.0,588300.0,-139.40836450187066,-1.7241379310339866,381400.0,1.5424750917671737,5713.T,DG,HV,DG_HV
2025-12-19,5799.0,371200.0,0.0,-12.071046732194946,381400.0,0.9732564237021499,5713.T,DG,LV,DG_LV
2025-12-23,6030.0,538300.0,-98.52216748768461,31.50912106135939,370000.0,1.4548648648648648,5713.T,DG,HV,DG_HV
2025-12-24,6149.0,1577000.0,165.31658125309878,551.3091559603179,370000.0,4.262162162162162,5713.T,UG,HV,UG_HV
2025-12-25,6488.0,2038300.0,0.0,-241.98520345252828,370000.0,5.508918918918919,5713.T,DG,HV,DG_HV
2025-12-26,6387.0,737900.0,88.45364081503604,53.23312979489625,382600.0,1.9286461055933088,5713.T,UG,HV,UG_HV
2026-01-07,7198.0,1591600.0,196.9117438730694,-33.34259516532323,402750.0,3.951831160769708,5713.T,UG,HV,UG_HV
2026-01-08,7174.0,711400.0,0.0,-188.17953721773085,412650.0,1.7239791590936628,5713.T,DG,HV,DG_HV
2026-01-14,7605.0,620300.0,126.49800266311573,316.89677843524055,416000.0,1.4911057692307692,5713.T,UG,HV,UG_HV
2026-01-15,7870.0,1197300.0,30.588835075198162,-25.41296060991072,416000.0,2.878125,5713.T,UG,HV,UG_HV
2026-01-16,7750.0,1030900.0,-127.38853503184711,25.80645161290418,464000.0,2.22176724137931,5713.T,DG,HV,DG_HV
2026-01-19,7702.0,814900.0,-87.51608751608741,215.52843417294244,478250.0,1.7039205436487193,5713.T,DG,HV,DG_HV
2026-01-20,7868.0,629100.0,0.0,271.9877986781905,563300.0,1.1168116456595065,5713.T,DG,LV,DG_LV
2026-01-21,7932.0,1468300.0,-185.59762435040872,564.8008068582966,604300.0,2.429753433724971,5713.T,DG,HV,DG_HV
2026-01-23,8322.0,1912200.0,173.59413202933993,199.47128094208065,624700.0,3.060989274851929,5713.T,UG,HV,UG_HV
2026-01-26,8638.0,1958400.0,176.7200754005649,-149.34012502894169,670250.0,2.9218948153674003,5713.T,UG,HV,UG_HV
2026-01-27,8499.0,1834500.0,-11.752262310494865,340.0400047064367,724650.0,2.5315669633616227,5713.T,DG,HV,DG_HV
2026-01-28,8775.0,1542100.0,-14.792899408283544,260.9686609686612,776400.0,1.986218444100979,5713.T,DG,HV,DG_HV
2026-02-05,9200.0,2135000.0,-107.52688172043001,-407.60869565217405,922900.0,2.3133600606782965,5713.T,DG,HV,DG_HV
2026-02-12,10480.0,2464600.0,244.37927663734092,300.5725190839703,1114100.0,2.2121892110223498,5713.T,UG,HV,UG_HV
