date,09:00寄成(元検証),09:05,09:10,09:20,09:30
2025-05-23,-0.021098923111494815,-0.055797433453105484,-0.05888914088103423,-0.03554704413086497,-0.014501687805456081
2025-05-28,-0.024350390074872084,,-0.018696659345144744,-0.0026426439882090104,-0.005511553220084986
2025-05-29,0.05218202720586184,0.09596083376588174,0.0571252183740057,0.025896756453784284,0.02071090780936622
2025-05-30,0.025284508069232995,0.004297779969733276,0.019415502489643435,0.008731845506326741,0.012830036235017743
2025-06-02,0.002885321682805026,,-0.02751699337871075,-0.009394160742916406,-0.0010901030565996727
2025-06-04,0.0866198909191998,0.11616712417699966,0.11108497173467127,0.07191074667373368,0.09287104054391995
2025-06-06,0.005502166621628829,,-0.006926057309982761,0.05378101828589695,0.04274908768276748
2025-06-09,0.03534896670745457,,,-0.003501983417578509,0.04268179614553443
2025-06-10,0.004621725978821567,,0.005713527947350124,0.009618654254731724,-0.0025081513121313673
2025-06-11,-0.010673140806253804,,-0.059032106084499415,-0.050443142556883765,-0.026324368007898218
2025-06-16,-0.027069142878530437,,-0.013720976285005048,-0.039833766870565064,-0.027192163597494105
2025-06-17,-0.025993997437523994,-0.015626655299800982,-0.021678955159235288,-0.0465572638362261,-0.04092523700711817
2025-06-18,-0.032543741811902345,,-0.04310558454700201,-0.05771393589370619,0.00904170598043721
2025-06-23,-0.012442618150283446,-0.09367389152790281,-0.011883607849990487,-0.0229985850792235,-0.02074840020360101
2025-06-24,0.003966870768933246,-0.0107896268556146,-0.0031781048219620563,-0.013969945582178659,0.009061696333345791
2025-06-25,0.04054589445932568,0.06399044390363409,0.06353101100582617,0.06544499264881727,0.07576980775981323
2025-06-26,-0.04019676791172858,,-0.004159098285093454,-0.023763202390197868,-0.02957489250263685
2025-06-27,0.06199694928700477,0.0140161827570877,0.023339376099144896,0.05567761145706055,0.02585423712553976
2025-06-30,-0.03556755354754655,-0.1852245150209523,-0.016293476264199858,-0.00825173176459894,0.006120927837776713
2025-07-02,0.0141455803581785,-0.008713134671571407,0.013504969621229867,-0.020939624582223322,-0.02170166762251684
2025-07-03,0.039131099897826524,-0.10075166444658458,-0.021318693046024805,0.054874345881997987,0.01792151017634516
2025-07-07,0.013853575925977685,0.07904788873915006,0.0107537184788638,-0.022657812988191393,-0.031620303536975376
2025-07-08,-0.00409769597868998,0.0697323622376592,0.08542010574128844,0.0188310924885655,-0.03001691315412763
2025-07-09,0.0030627836894386675,0.0014582015664253109,-0.025323830754266016,-0.04111817069544594,-0.011463157205688834
2025-07-11,0.04512306405719626,,0.0025579934032692827,0.02025697932253139,0.0239762785851551
2025-07-14,0.052789578697256694,,0.11175334838369574,0.09621006216546191,0.09202029953465615
2025-07-16,0.004714292681954396,-0.06230234371250929,-0.039806473412131595,0.0007509714749933421,-0.009739476427463381
2025-07-17,0.08874875525124007,0.12326410484789163,0.14024921854825761,0.08407988614214146,0.13049251957782063
2025-07-23,-0.021419759644927,-0.026154611133647206,-0.020796366599684445,-0.023091606420126847,-0.01691139731561881
2025-07-24,0.009665965082628632,0.012784098391902676,-0.005529720575372127,-0.004880189271163245,-0.016576560451293094
2025-07-25,-0.003582764555656819,-0.013145679012345734,-0.03788457356210483,0.01993618207801801,0.01191455596206178
2025-07-28,-0.003981116151204311,,0.05219572303787962,-0.037619061793415454,-0.014816613714120455
2025-07-29,0.06364888156289966,-0.009254106280193275,0.03521115048878941,0.04658243614573704,0.039034124988969264
2025-07-30,-0.02288869789456702,,-0.0019102683707330251,0.00690687975491302,-0.006106070911221728
2025-07-31,0.016022180107070638,,-0.01725195504707176,-0.022021460920103302,-0.006338412026002447
2025-08-01,0.02872412451245895,,0.0044606109670329245,0.04364909610624465,0.03693323672155941
2025-08-04,0.013310956324792553,0.006870900558761648,0.0021118615376469877,0.006912170292357965,0.003611429434648748
2025-08-05,0.012262692075642111,,0.007302094187663517,-0.013209526817555555,0.008535602587594006
2025-08-06,0.006557053436752136,,0.01134219533965267,-0.0007152649803442171,0.011728100607010595
2025-08-07,-0.031805196099285074,,-0.007321531293900467,-0.012290170563153817,-0.017702295478267682
2025-08-08,-0.005146766793676348,,0.0009179427680631626,-0.006549744100748626,-0.004981024907384303
2025-08-12,-0.007751777930406023,,-0.012387916728971717,-0.008364123924061427,-0.015572968059535166
2025-08-13,-0.026895740478797604,,0.01316549185733536,-0.0315946719231171,-0.02129936502041947
2025-08-14,-0.008545667337241531,,,-0.0001161896176971076,0.008023402094569936
2025-08-15,0.018220671196418316,,0.043372081638403136,0.02805105965050012,0.030683307694354605
