,eneos_vwap_trend,vwap_morning_meanrevert,lasertec_ma25_support,bank_absorption,closing_auction
2025-11-19,0.0,0.0,0.0,0.0002930292639692,0.010910402615268822
2025-11-20,8.426150121061439e-05,0.0,0.0150323614542887,0.0021875770765613,-0.0021949525277937996
2025-11-21,-0.0052947626040136,0.0,0.0150323614542887,0.0074441945019207,0.006808618339499995
2025-11-25,0.0,0.0,0.0150323614542887,0.0094090732697253,0.006632089570623652
2025-11-26,-0.0042424591738712,0.0,0.0150323614542887,0.0157493150178458,0.010080566863229778
2025-11-27,0.0,0.0,0.0150323614542887,0.0205601759229407,-0.007971553104023865
2025-11-28,0.0,0.0,0.0150323614542887,0.0231155580020582,0.003970617284624651
2025-12-01,-0.0042986354775829,0.0,0.0150323614542887,0.0210223622047243,0.005507520061947529
2025-12-02,0.0,0.0,0.0098521551225924,0.0093493862305673,0.009110794085848917
2025-12-03,-0.0066171209947392,0.0,0.0098521551225924,-0.0045886872920536,0.0007973272966464147
2025-12-04,0.0,-0.0168141414141414,0.0098521551225924,-0.0045886872920536,0.0013032495763411892
2025-12-05,0.0,0.0,0.0046719487908961,-0.0045886872920536,0.010331915909770728
2025-12-08,0.0,0.0,0.0046719487908961,-0.0045886872920536,0.002060472230630883
2025-12-09,0.0,0.0,0.0046719487908961,-0.0057212360662856,0.002100603250164146
2025-12-10,0.0,0.0,0.0046719487908961,-0.0019819751280175,0.005183068083098597
2025-12-11,0.0,0.0,0.0046719487908961,-0.0019819751280175,0.01309479527574613
2025-12-12,0.0060014631915867,0.0,0.0046719487908961,-0.0019819751280175,-0.0013233878729547175
2025-12-15,0.0,0.0,0.0046719487908961,-0.0019819751280175,-0.0010387904671933605
2025-12-16,0.0,0.0,0.0,-0.0019819751280175,0.0010737411339119467
2025-12-17,-0.012225922421949,0.0,0.0071245826292666,0.0,-0.008353409113464605
2025-12-18,0.0,0.0,0.0071245826292666,0.0,0.0071990511447005134
2025-12-19,-0.0013225092250922,0.0,0.0071245826292666,0.0,0.008047214033491755
2025-12-22,0.0,0.0,0.0071245826292666,0.0,-0.00917168243049582
2025-12-23,0.0,0.0,0.0071245826292666,0.0,-0.004759071980963703
2025-12-24,0.0,0.0,0.0071245826292666,0.0,0.0
2025-12-25,0.0,0.0,0.0071245826292666,0.0,0.008572869389813498
2025-12-26,0.0,0.0,0.0071245826292666,0.0,0.0
2025-12-29,0.0,0.0,0.0071245826292666,0.0,-0.002845759817871385
2025-12-30,0.0,0.0,0.0164353730756396,0.0,0.013408726694223938
2026-01-05,0.0,0.0,0.0257461635220125,0.0,0.008957868436204608
2026-01-06,0.011153273427471,0.0,0.0257461635220125,0.0029573060415978,-0.004706783695328843
2026-01-07,0.0104554059921841,0.0,0.0257461635220125,0.0029573060415978,-0.0038581300645302292
2026-01-08,0.0,0.0,0.0257461635220125,0.0029573060415978,0.004318695995884413
