hypothesis,scale,horizon,N,gross,net,wr,t_stat,pf,sharpe
H9b_MA25 -10〜-5%,TOPIX500,5,23332,0.6009585762191852,0.5009585762191853,56.21464083661923,18.546410194385057,1.3346138598554917,0.7185490572205937
H10_vol≥2.0x×大陽線,TOPIX500,5,4962,0.4308918308859966,0.3308918308859967,51.41072148327287,5.306303358599156,1.1757295916948982,0.410673564560154
H11_52高値-30%超下,TOPIX500,5,25179,0.6066179130853195,0.5066179130853197,54.34290480162039,17.22579056552557,1.2906181830892312,0.6436362604910063
H12_20日高値×vol≥1.5x,TOPIX500,5,8391,0.25996401599385655,0.15996401599385662,50.256226909784296,4.519807744376508,1.0910267210599158,0.21554474094378498
H1a_MA25<-15%,TOPIX500,10,2718,5.6787702004819165,5.578770200481917,72.99484915378956,29.862973634842398,4.483540693481673,2.824832965474241
H1b_MA25<-10%,TOPIX500,10,8384,3.6832436237382433,3.5832436237382437,67.10400763358778,36.872457080483805,2.93507521784499,1.966629753448766
H1c_MA25 -10〜-5%,TOPIX500,10,23332,1.4091351674291297,1.30913516742913,58.26332933310475,30.59508529857659,1.687097110115284,0.9341310128353508
H2a_20d下落<-20%,TOPIX500,10,2929,5.338783826900222,5.238783826900223,71.93581427108228,29.143569939801765,4.285112902348512,2.6525982333821876
H2b_20d下落<-10%,TOPIX500,10,19828,2.5490071827112586,2.4490071827112585,63.062336090377244,44.103522150906755,2.3239618222449594,1.5106125517173892
H3a_20d上昇>+20%,TOPIX500,10,8606,0.9046070151483696,0.8046070151483697,50.76690680920288,8.502353052981913,1.2653109038085626,0.4092254148533956
H3b_20d上昇>+10%,TOPIX500,10,37953,0.7011648216211831,0.6011648216211833,52.48596948857798,17.188123534488767,1.2448304409162243,0.37973368323730017
H4a_BB<-1.8σ,TOPIX500,10,3967,2.9916293276367765,2.891629327636777,64.83488782455255,22.804917535554146,2.6591265954677197,1.7568412301026708
H4b_BB<-1.5σ,TOPIX500,10,7098,2.2813090861844323,2.1813090861844326,61.72161172161172,24.160502149221596,2.1732252916198482,1.3764844432222096
H5_52週高値×vol≥1.5x,TOPIX500,10,3215,0.8212300538511381,0.7212300538511384,53.74805598755832,6.041629183814879,1.3145193115257072,0.4697565333839742
H6_5MA>25MA,TOPIX500,10,7755,0.47299928026055993,0.37299928026056006,51.9277885235332,6.633126880499672,1.1831653188475035,0.2981777188342715
H7a_5d<-8%,TOPIX500,10,8321,2.7152938495195817,2.6152938495195825,61.122461242639105,26.138160045628638,2.1213802836141515,1.3854510266350843
H7b_5d>+10%,TOPIX500,10,7268,1.713152344649693,1.613152344649693,54.62300495321959,14.922044858029606,1.636433390372882,0.8273714887555931
H8a_vol≥2.0x×陰線,TOPIX500,10,5636,1.99901642685728,1.8990164268572796,59.102200141944635,19.447900023531645,2.06436278931729,1.2353779628859751
H8b_vol≥1.5x×陰線,TOPIX500,10,12982,1.6514602332345882,1.5514602332345884,57.91095362810045,25.028194041274723,1.820192905803842,1.0359326215011009
H9a_MA25 -5〜0%,TOPIX500,10,85515,0.6996119032988569,0.5996119032988569,54.45477401625446,34.29901345865488,1.3305443257878804,0.5046308588732628
H9b_MA25 -10〜-5%,TOPIX500,10,23332,1.4091351674291297,1.30913516742913,58.26332933310475,30.59508529857659,1.687097110115284,0.9341310128353508
H10_vol≥2.0x×大陽線,TOPIX500,10,4962,1.2544606769367725,1.1544606769367727,54.212011285771865,11.24138699053601,1.5260081837561499,0.7372484730280792
H11_52高値-30%超下,TOPIX500,10,25179,1.2856081246938182,1.1856081246938184,56.63449700146948,25.528086496538958,1.5152141633353515,0.7447865969472395
H12_20日高値×vol≥1.5x,TOPIX500,10,8391,0.8121299295440858,0.7121299295440859,53.259444643069955,9.667992259834502,1.3182150862275226,0.4645831205418389
