p1,p2,n,corr,beta,adf_p,coint_p,hurst,spread_mean,spread_std,sector
8801.T,1928.T,304,0.5550042020263024,1.9214022640660644,0.02849226151781689,0.09300890984206978,0.39543336543588004,-3.997387216558261e-14,0.09748083329944773,不動産投資
1925.T,1928.T,304,0.6386139731018792,0.4275220035170919,0.039148129391320126,0.12112323110851186,0.4450858159366515,8.531187452382782e-16,0.03479987905223106,不動産投資
8802.T,1928.T,304,0.5611022074266556,3.115284911438987,0.07094529576218687,0.19245404506005231,0.3854102820137734,-1.9551611791556704e-14,0.193811658667575,不動産投資
8801.T,8802.T,304,0.7812799814154092,0.5175494788414854,0.2472124505106884,0.47701686967557394,0.48511742025652566,-1.1553623554947846e-14,0.0464686665680485,不動産投資
8801.T,1925.T,304,0.6458883542821445,2.4990861066480847,0.8265740607166758,0.9364215423714849,0.4317961309324343,1.917179865155336e-14,0.09102874024619931,不動産投資
8802.T,1925.T,304,0.5584579643931163,3.685849524063751,0.969137148201556,0.9835544685175505,0.43829484463320806,9.79917901208625e-14,0.19769776712529574,不動産投資
8267.T,3382.T,304,0.3661853103780754,-0.7312524008456592,0.5821145260628998,0.7974011568227133,0.4789216716242167,9.115515360080233e-16,0.23669862052699814,小売
9983.T,8267.T,304,0.13692914322076272,0.38630320238377364,0.903909774599402,0.9681439987289695,0.3568764477220381,-2.513194331006736e-14,0.10851992621241065,小売
9983.T,3382.T,304,0.28210006257415204,0.23089936200582006,0.9395252401270838,0.9799821658466568,0.3825942918926512,-1.757658346353932e-14,0.1422939945098627,小売
8766.T,8750.T,304,0.7265526073255579,0.43559461870527577,0.19493131478366982,0.40511758353114585,0.41718242442144604,1.7845374301080147e-14,0.06696589564114981,保険
1605.T,5020.T,304,0.6654626115180827,1.1045561393643626,0.1517500938567129,0.3397468018619778,0.5564765398690117,1.64809686366066e-14,0.07968333758656365,鉱山
